job_title,job_category,employee_residence,experience_level,employment_type,company_location,company_size,salary_in_usd
Data Scientist,Data Science and Research,United Kingdom,Senior,Full-time,United Kingdom,M,142436
Data Engineer,Data Engineering,United States,Executive,Full-time,United States,M,110000
Business Intelligence Analyst,BI and Visualization,United States,Mid-level,Full-time,United States,M,62500
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,297000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,167500
Data Engineer,Data Engineering,United States,Entry-level,Full-time,United States,M,135000
Business Intelligence Engineer,BI and Visualization,United States,Senior,Full-time,United States,M,118200
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,140000
ML Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,179000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,121000
Data Engineer,Data Engineering,France,Mid-level,Full-time,Other,M,110000
Data Science Engineer,Data Science and Research,United States,Senior,Full-time,United States,M,220000
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,148000
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,222200
Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,United States,M,153000
Data Scientist,Data Science and Research,United States,Entry-level,Full-time,United States,M,85600
Research Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,118800
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,133500
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,184000
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,54000
Data Engineer,Data Engineering,Colombia,Mid-level,Full-time,Other,M,60000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,168400
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,100000
Business Intelligence Engineer,BI and Visualization,United States,Senior,Full-time,United States,L,202800
Data Analytics Engineer,Leadership and Management,Germany,Senior,Full-time,Germany,L,79197
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,140100
Data Scientist,Data Science and Research,United States,Entry-level,Full-time,United States,M,71907
Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,United States,M,140000
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,78000
Data Science Manager,Data Science and Research,United States,Senior,Full-time,United States,M,245100
ML Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,165400
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,130000
Data Architect,Data Architecture and Modeling,United Kingdom,Senior,Full-time,United Kingdom,M,92000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,207611
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,262500
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,210000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,126000
Data Engineer,Data Engineering,United States,Executive,Full-time,United States,M,187200
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,182000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,265000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,150000
Analytics Engineer,Leadership and Management,United States,Senior,Full-time,United States,M,127000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,225000
Data Engineer,Data Engineering,Canada,Senior,Full-time,Canada,M,87000
Business Intelligence Analyst,BI and Visualization,United States,Mid-level,Full-time,United States,M,106700
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,160000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,226600
Data Analyst,Data Analysis,United States,Entry-level,Full-time,United States,M,50000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,198200
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,132000
Data Analyst,Data Analysis,United States,Entry-level,Full-time,United States,L,40400
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,175000
Research Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,200000
Data Engineer,Data Engineering,Brazil,Senior,Full-time,Other,M,60000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,90700
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,150000
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,L,135000
Data Operations Specialist,Data Quality and Operations,United States,Senior,Full-time,United States,M,50700
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,247300
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,160000
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,196000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,130000
Data Science Consultant,Data Science and Research,United States,Senior,Full-time,United States,M,157550
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,141525
Research Engineer,Data Science and Research,United States,Senior,Full-time,United States,M,310000
Data Scientist,Data Science and Research,United States,Executive,Full-time,United States,M,300000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,80000
Data Scientist,Data Science and Research,United States,Entry-level,Full-time,United States,M,166000
BI Developer,BI and Visualization,United States,Senior,Full-time,United States,M,167500
Data Engineer,Data Engineering,United States,Executive,Full-time,United States,M,239000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,150000
Applied Machine Learning Scientist,Machine Learning and AI,Germany,Entry-level,Full-time,Germany,M,43187
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,135000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,126000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,166364
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,120681
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,139500
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,100000
Deep Learning Engineer,Machine Learning and AI,Canada,Senior,Full-time,Canada,M,100017
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,127500
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,164640
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,135000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,140100
Applied Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,L,136000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,226600
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,L,202900
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,185000
Data Scientist,Data Science and Research,United States,Entry-level,Full-time,United States,M,71907
Research Engineer,Data Science and Research,Germany,Senior,Full-time,Germany,M,275000
Data Analyst,Data Analysis,United States,Entry-level,Full-time,United States,M,85000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,128280
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,166000
Cloud Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,United States,L,250000
Machine Learning Infrastructure Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,205920
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,153000
Data Analyst,Data Analysis,United Kingdom,Mid-level,Full-time,United Kingdom,M,49216
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,120000
Data Scientist,Data Science and Research,Spain,Entry-level,Full-time,Spain,M,43187
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,300000
Data Engineer,Data Engineering,United States,Entry-level,Full-time,United States,M,60000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,170000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,228000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,280600
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,183310
Data Scientist,Data Science and Research,Algeria,Entry-level,Part-time,Other,M,100000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,109600
Data Science Consultant,Data Science and Research,United States,Senior,Full-time,United States,M,104650
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,95490
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,177000
Data Engineer,Data Engineering,United States,Executive,Full-time,United States,M,167500
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,150000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,106000
Data Manager,Leadership and Management,United States,Senior,Full-time,United States,M,130000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,180180
AI Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,220000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,285000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,191475
Data Manager,Leadership and Management,United States,Senior,Full-time,United States,M,130000
Head of Data,Leadership and Management,United States,Executive,Full-time,United States,M,269600
Data Analyst,Data Analysis,United States,Entry-level,Full-time,United States,M,57920
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,359170
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,110000
Computer Vision Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,342810
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,130000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,213580
BI Analyst,BI and Visualization,United States,Senior,Full-time,United States,M,160000
Analytics Engineer,Leadership and Management,United States,Senior,Full-time,United States,M,143200
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,115000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,93919
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,134000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,166000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,129000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,180180
Business Intelligence Analyst,BI and Visualization,United States,Mid-level,Full-time,United States,M,125009
Data Science Manager,Data Science and Research,Mexico,Senior,Full-time,Other,M,150000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,L,115000
Research Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,132500
Power BI Developer,BI and Visualization,Poland,Mid-level,Full-time,Other,L,64781
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,70000
Business Intelligence Analyst,BI and Visualization,Canada,Senior,Full-time,Canada,M,112000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,295490
Research Engineer,Data Science and Research,United States,Mid-level,Full-time,United States,M,220000
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,55000
Data Scientist,Data Science and Research,Germany,Mid-level,Full-time,Germany,M,60938
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,204000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,142200
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,132000
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,105000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,225000
Research Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,248100
Data Analyst,Data Analysis,United States,Entry-level,Full-time,United States,M,132600
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,185900
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,191000
Head of Data,Leadership and Management,Portugal,Senior,Full-time,Other,L,75577
AI Research Engineer,Data Science and Research,Portugal,Entry-level,Full-time,Other,M,24940
Data Engineer,Data Engineering,Spain,Entry-level,Full-time,Spain,L,41027
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,185900
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,88600
Data Analytics Manager,Leadership and Management,United States,Senior,Full-time,United States,M,120000
Machine Learning Engineer,Machine Learning and AI,Canada,Senior,Full-time,Canada,M,151100
AI Architect,Machine Learning and AI,United States,Senior,Full-time,United States,M,330000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,95000
AI Architect,Machine Learning and AI,United States,Senior,Full-time,United States,M,330000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,55000
Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,United States,M,66000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,105000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,142200
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,250000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,225000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,243900
Business Intelligence Engineer,BI and Visualization,United States,Senior,Full-time,United States,L,104300
Research Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,150000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,266000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,190000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,205300
Data Engineer,Data Engineering,United States,Entry-level,Full-time,United States,M,92700
Research Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,210000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,176000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,226600
Machine Learning Scientist,Machine Learning and AI,United States,Senior,Full-time,United States,M,157250
Head of Data,Leadership and Management,United States,Executive,Full-time,United States,M,329500
Analytics Engineer,Leadership and Management,United States,Senior,Full-time,United States,M,112500
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,235000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,139500
Machine Learning Developer,Machine Learning and AI,Iraq,Entry-level,Full-time,Other,S,100000
Data Engineer,Data Engineering,Spain,Senior,Full-time,Spain,M,68293
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,220000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,165000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,120000
Data Manager,Leadership and Management,United States,Senior,Full-time,United States,M,199000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,121904
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,84870
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,359170
Data Engineer,Data Engineering,United Kingdom,Mid-level,Full-time,United Kingdom,L,116888
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,252000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,95000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,117000
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,120000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,140000
